arch_id;clim_id;era_median;era_avg;tot_buildings;energy_specific;constr_period;build_type;area_typology;canton;hvac_system;arch_entry_org_id;hvac_system_org;dhw_decentral;dhw_daily_energy;dhw_storage_decentral;dhw_power_decentral;p_therm_heating;enable_borehole;ht_temp_level;enable_gas;enable_district_heat;p_dhw_cent;p_therm_tot;sys_enable_dh;sys_enable_hpaw;sys_enable_hpbw;sys_enable_wood;sys_enable_electro;sys_enable_gas;sys_enable_oil;n_dhw_cent;roof_era;era_roof_new;arch_entry_id
5100;7088;177;177;2;79;2000;SFH;Suburban;TG;Oil;1282013;Oil;0;6.789041096;0;0;7.843584259;0;0;0;0;0.354;8.197584259;0;1;0;1;0;0;1;1.264285714;49.56;81.9;1282013
1874;6278;144;160.3333333;3;142;1950;SFH;Suburban;TG;HPBW;1116978;HP;0;6.149771689;0;0;12.80414483;1;1;0;0;0.320666667;13.1248115;0;1;1;1;0;0;0;1.145238095;32.06666667;73.5;1116978
3667;7988;114;113;3;159;1980;SFH;Rural;SZ;Electro;1206896;Electro;1;4.334246575;6.501369863;1.083561644;10.65593299;1;0;0;1;0;10.65593299;1;1;1;1;0;0;0;0.807142857;28.25;70.9625;1206896
2323;8665;138;138;1;165;1960;SFH;Rural;JU;Oil;1136584;Oil;0;5.293150685;0;0;13.97347389;0;0;0;0;0.276;14.24947389;0;1;0;1;0;0;1;0.985714286;69;28;1136584
1885;7661;147;144;3;148;1950;SFH;Suburban;VD;Gas;1118480;Gas;0;5.523287671;0;0;10.07617198;0;0;1;0;0.288;10.36417198;0;1;0;1;0;1;0;1.028571429;28.8;92.16666669;1118480
4094;10918;434;434;1;91;1990;MFH;Suburban;NE;Oil;1229604;Oil;0;24.96986301;0;0;24.89596586;0;0;0;0;1.302;26.19796586;0;1;0;1;0;0;1;3.1;217;230.3;1229604
4281;18016;184;200;3;106;1990;SFH;Rural;LU;Wood;1240710;Wood;1;7.671232877;11.50684932;1.917808219;11.01710997;1;1;0;1;0;11.01710997;1;1;1;1;0;0;0;1.428571429;100;87.5;1240710
5389;5958;630;630;1;42;2010;MFH;Suburban;SH;HPBW;1290392;HP;0;36.24657534;0;0;14.95819232;1;0;0;0;1.89;16.84819232;0;1;1;1;0;0;0;4.5;176.4;122.5;1290392
4461;6742;98;98;1;68;1990;SFH;Suburban;TI;Electro;1252449;Electro;1;3.75890411;5.638356164;0.939726027;4.025506862;0;0;0;0;0;4.025506862;0;1;0;1;0;0;0;0.7;49;83.3;1252449
1024;16200;114;114;1;170;1945;SFH;Rural;BE;Wood;1069997;Wood;0;4.37260274;0;0;11.72280984;0;0;0;0;0.228;11.95080984;0;1;0;1;0;0;0;0.814285714;57;199.5;1069997
426;6070;131.5;131.5;2;126;1920;SFH;Rural;SG;Wood;1032278;Wood;0;5.043835616;0;0;8.985229965;0;0;0;0;0.263;9.248229965;0;1;0;1;0;0;0;0.939285714;18.41;76.65;1032278
